model,seed,epoch,train_loss,train_acc,val_loss,val_acc
ViT,1,58,0.5685514287343101,0.7015,0.5999264996498823,0.662
ViT,1,59,0.5665394176566412,0.6995,0.600910697132349,0.666
ViT,1,60,0.5651588950838361,0.704,0.6007821969687939,0.67
ViT,1,61,0.564736374786922,0.7035,0.5996873676776886,0.664
ViT,1,62,0.5635796317032405,0.704,0.5994655601680279,0.664
ViT,1,63,0.5628586264829787,0.7075,0.5984623059630394,0.664
ViT,1,64,0.5618881748782264,0.707,0.5982137825340033,0.672
ViT,1,65,0.5600094047803728,0.7095,0.5985470414161682,0.664
ViT,1,66,0.5592621924385192,0.708,0.596071807667613,0.668
ViT,1,67,0.557772566874822,0.7065,0.5974246524274349,0.668
ViT,1,68,0.5570704709915888,0.7055,0.5970857013016939,0.664
ViT,1,69,0.5564811849404895,0.7105,0.5965285189449787,0.67
ViT,1,70,0.5555463277158283,0.7085,0.5952742304652929,0.672
ViT,1,71,0.5540632752199022,0.709,0.594554603099823,0.674
ViT,1,72,0.5534641737975772,0.708,0.593655027449131,0.674
ViT,1,73,0.5527040589423406,0.7085,0.5946802217513323,0.672
ViT,1,74,0.5517435461755783,0.71,0.5934455003589392,0.67
ViT,1,75,0.5522441651139941,0.714,0.5921532437205315,0.67
ViT,1,76,0.5514402971381233,0.709,0.5931962504982948,0.676
ViT,1,77,0.550217687610596,0.7085,0.5932213086634874,0.672
ViT,1,78,0.54873064680705,0.71,0.592584878206253,0.674
ViT,1,79,0.5478896683170682,0.7145,0.5929363984614611,0.672
ViT,1,80,0.5468232187013777,0.715,0.5924005154520273,0.676
ViT,1,81,0.5466365000558278,0.717,0.5926263369619846,0.67
ViT,1,82,0.5459300360036274,0.7175,0.5920795686542988,0.674
ViT,1,83,0.5451092455122206,0.7195,0.59101327881217,0.674
ViT,1,84,0.5441439743079837,0.7175,0.5920547675341368,0.67
ViT,1,85,0.5433001158729432,0.72,0.5931104701012373,0.676
ViT,1,86,0.5426999988063933,0.7195,0.5923858527094126,0.672
ViT,1,87,0.5425553813813224,0.72,0.5911355931311846,0.67
ViT,1,88,0.5424710214138031,0.7185,0.5913559328764677,0.67
ViT,1,89,0.5408031122078971,0.7175,0.5922731999307871,0.672
